,Nutrition,Source,C 1-3,F 4-8,M 4-8,F 9-13,M 9-13,F 14-18,M 14-18,F 19-30,M 19-30,F 31-50,M 31-50,F 51+,M 51+
0,Energy,---,1000.0,1200.0,1400.0,1600,1800,1800,2200,2000.0,2400.0,1800.0,2200.0,1600.0,2000.0
1,Protein,RDA,13.0,19.0,19.0,34,34,46,52,46.0,56.0,46.0,56.0,46.0,56.0
2,"Fiber, total dietary",---,14.0,16.8,19.6,22.4,25.2,25.2,30.8,28.0,33.6,25.2,30.8,22.4,28.0
3,"Folate, DFE",RDA,150.0,200.0,200.0,300,300,400,400,400.0,400.0,400.0,400.0,400.0,400.0
4,"Calcium, Ca",RDA,700.0,1000.0,1000.0,1300,1300,1300,1300,1000.0,1000.0,1000.0,1000.0,1200.0,1000.0
5,"Carbohydrate, by difference",RDA,130.0,130.0,130.0,130,130,130,130,130.0,130.0,130.0,130.0,130.0,130.0
6,"Iron, Fe",RDA,7.0,10.0,10.0,8,8,15,11,18.0,8.0,18.0,8.0,8.0,8.0
7,"Magnesium, Mg",RDA,80.0,130.0,130.0,240,240,360,410,310.0,400.0,320.0,420.0,320.0,420.0
8,Niacin,RDA,6.0,8.0,8.0,12,12,14,16,14.0,16.0,14.0,16.0,14.0,16.0
9,"Phosphorus, P",RDA,460.0,500.0,500.0,"1,250","1,250","1,250","1,250",700.0,700.0,700.0,700.0,700.0,700.0
10,"Potassium, K",AI,3000.0,3800.0,3800.0,4500,4500,4700,4700,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0
11,Riboflavin,RDA,0.5,0.6,0.6,0.9,0.9,1,1.3,1.1,1.3,1.1,1.3,1.1,1.3
12,Thiamin,RDA,0.5,0.6,0.6,0.9,0.9,1,1.2,1.1,1.2,1.1,1.2,1.1,1.2
13,"Vitamin A, RAE",RDA,300.0,400.0,400.0,600,600,700,900,700.0,900.0,700.0,900.0,700.0,900.0
14,Vitamin B-12,RDA,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
15,Vitamin B-6,RDA,0.5,0.6,0.6,1,1,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.7
16,"Vitamin C, total ascorbic acid",RDA,15.0,25.0,25.0,45,45,65,75,75.0,90.0,75.0,90.0,75.0,90.0
17,Vitamin E (alpha-tocopherol),RDA,6.0,7.0,7.0,11,11,15,15,15.0,15.0,15.0,15.0,15.0,15.0
18,Vitamin K (phylloquinone),AI,30.0,55.0,55.0,60,60,75,75,90.0,120.0,90.0,120.0,90.0,120.0
19,"Zinc, Zn",RDA,3.0,5.0,5.0,8,8,9,11,8.0,11.0,8.0,11.0,8.0,11.0
20,Vitamin D,RDA,600.0,600.0,600.0,600,600,600,600,600.0,600.0,600.0,600.0,600.0,600.0
