year,food_code,mod_code,method,method_description,nhanes,price_100gm
2015/2016,54305010,NA,1,Links to FNDDS,Base,1.501105
2015/2016,54305020,NA,1,Links to FNDDS,Extra,1.024663
2015/2016,54313000,NA,1,Links to FNDDS,Extra,0.746971
2015/2016,54318000,NA,1,Links to FNDDS,Extra,1.602978
2015/2016,54318500,NA,1,Links to FNDDS,Base,1.538171
2015/2016,54319000,NA,1,Links to FNDDS,Base,2.297371
2015/2016,54319005,NA,1,Links to FNDDS,Extra,2.468291
2015/2016,54319020,NA,1,Links to FNDDS,Extra,1.407735
2015/2016,54319500,NA,1,Links to FNDDS,Extra,1.058517
2015/2016,54325000,NA,2,Links to altEC,Base,0.521945
2015/2016,54325010,NA,2,Links to altEC,Base,0.521945
2015/2016,54325060,NA,1,Links to FNDDS,Base,0.414999
2015/2016,54326000,NA,1,Links to FNDDS,Base,1.057817
2015/2016,54328000,NA,2,Links to altEC,Base,0.78349
2015/2016,54328100,NA,1,Links to FNDDS,Base,0.666375
2015/2016,54328105,NA,1,Links to FNDDS,Base,0.897606
2015/2016,54328120,NA,1,Links to FNDDS,Extra,0.741179
2015/2016,54328200,NA,1,Links to FNDDS,Base,0.838951
2015/2016,54328210,NA,1,Links to FNDDS,Base,1.077541
2015/2016,54336000,NA,1,Links to FNDDS,Base,2.200205
2015/2016,54336100,NA,1,Links to FNDDS,Extra,1.959498
2015/2016,54337010,NA,1,Links to FNDDS,Extra,1.228353
2015/2016,54337020,NA,1,Links to FNDDS,Base,1.025745
2015/2016,54337030,NA,1,Links to FNDDS,Base,0.96658
2015/2016,54338000,NA,1,Links to FNDDS,Base,0.785243
2015/2016,54338010,NA,1,Links to FNDDS,Base,0.954554
2015/2016,54338020,NA,1,Links to FNDDS,Extra,1.040558
2015/2016,54340100,NA,1,Links to FNDDS,Base,2.572731
2015/2016,54340110,NA,1,Links to FNDDS,Extra,2.521136
2015/2016,54350010,NA,1,Links to FNDDS,Base,4.543384
2015/2016,54350020,NA,1,Links to FNDDS,Base,5.094912
2015/2016,54401011,NA,1,Links to FNDDS,Extra,1.091222
2015/2016,54401021,NA,1,Links to FNDDS,Base,0.798068
2015/2016,54401026,NA,1,Links to FNDDS,Base,0.976569
2015/2016,54401031,NA,1,Links to FNDDS,Base,0.8992
2015/2016,54401035,NA,1,Links to FNDDS,Base,0.977113
2015/2016,54401055,NA,1,Links to FNDDS,Base,1.020161
2015/2016,54401065,NA,1,Links to FNDDS,Base,1.182457
2015/2016,54401075,NA,1,Links to FNDDS,Base,0.763706
2015/2016,54401081,NA,1,Links to FNDDS,Base,1.070678
2015/2016,54401085,NA,1,Links to FNDDS,Base,0.915796
2015/2016,54401090,NA,2,Links to altEC,Base,0.798068
2015/2016,54401110,NA,1,Links to FNDDS,Base,0.946472
2015/2016,54401111,NA,1,Links to FNDDS,Base,0.949412
2015/2016,54401112,NA,1,Links to FNDDS,Base,1.01774
2015/2016,54401121,NA,1,Links to FNDDS,Base,1.470841
2015/2016,54401122,NA,1,Links to FNDDS,Base,1.195264
2015/2016,54402080,NA,2,Links to altEC,Base,0.763706
2015/2016,54402200,NA,1,Links to FNDDS,Base,1.055071
2015/2016,54402700,NA,1,Links to FNDDS,Base,1.182878
2015/2016,54403001,NA,2,Links to altEC,Extra,0.604614
2015/2016,54403005,NA,2,Links to altEC,Base,0.626161
2015/2016,54403006,NA,2,Links to altEC,Base,0.948834
2015/2016,54403010,NA,1,Links to FNDDS,Base,0.439726
2015/2016,54403040,NA,1,Links to FNDDS,Extra,1.499087
2015/2016,54403045,NA,2,Links to altEC,Base,0.948834
2015/2016,54403046,NA,2,Links to altEC,Base,0.626161
2015/2016,54403051,NA,2,Links to altEC,Extra,0.604614
2015/2016,54403052,NA,1,Links to FNDDS,Base,0.813578
2015/2016,54403053,NA,1,Links to FNDDS,Base,0.874526
2015/2016,54403054,NA,1,Links to FNDDS,Extra,0.797034
2015/2016,54403056,NA,1,Links to FNDDS,Base,0.604614
2015/2016,54403057,NA,1,Links to FNDDS,Base,0.74837
2015/2016,54403058,NA,1,Links to FNDDS,Base,0.716825
2015/2016,54403059,NA,1,Links to FNDDS,Base,0.620461
2015/2016,54403062,NA,1,Links to FNDDS,Extra,0.872379
2015/2016,54403080,NA,2,Links to altEC,Extra,1.111778
2015/2016,54403081,NA,1,Links to FNDDS,Base,1.864292
2015/2016,54403082,NA,1,Links to FNDDS,Extra,2.602427
2015/2016,54403083,NA,2,Links to altEC,Base,1.864292
2015/2016,54403085,NA,1,Links to FNDDS,Base,1.111778
2015/2016,54403087,NA,1,Links to FNDDS,Base,1.507264
2015/2016,54403088,NA,2,Links to altEC,Base,1.507264
2015/2016,54403089,NA,1,Links to FNDDS,Base,1.3198
2015/2016,54403092,NA,1,Links to FNDDS,Base,1.594581
2015/2016,54403110,NA,1,Links to FNDDS,Base,0.933288
2015/2016,54403120,NA,1,Links to FNDDS,Extra,1.511295
2015/2016,54403160,NA,1,Links to FNDDS,Extra,1.780202
2015/2016,54404010,NA,1,Links to FNDDS,Extra,1.554806
2015/2016,54406010,NA,1,Links to FNDDS,Base,1.889266
2015/2016,54408000,NA,1,Links to FNDDS,Extra,0.715417
2015/2016,54408016,NA,1,Links to FNDDS,Base,0.642152
2015/2016,54408017,NA,2,Links to altEC,Base,0.642152
2015/2016,54408030,NA,2,Links to altEC,Base,0.642152
2015/2016,54408035,NA,1,Links to FNDDS,Base,0.921485
2015/2016,54408070,NA,1,Links to FNDDS,Base,0.78594
2015/2016,54408081,NA,1,Links to FNDDS,Extra,1.421695
2015/2016,54408105,NA,1,Links to FNDDS,Extra,1.182245
2015/2016,54408110,NA,1,Links to FNDDS,Extra,1.143885
2015/2016,54408190,NA,1,Links to FNDDS,Extra,1.229512
2015/2016,54408200,NA,1,Links to FNDDS,Base,1.555526
2015/2016,54408250,NA,1,Links to FNDDS,Extra,1.247895
2015/2016,54408300,NA,1,Links to FNDDS,Extra,1.121097
2015/2016,54408310,NA,1,Links to FNDDS,Base,0.909229
2015/2016,54408415,NA,2,Links to altEC,Base,0.574785
2015/2016,54408416,NA,2,Links to altEC,Base,0.949714
2015/2016,54408456,NA,2,Links to altEC,Extra,0.949714
2015/2016,54408470,NA,1,Links to FNDDS,Extra,1.024725
2015/2016,54420210,NA,1,Links to FNDDS,Base,1.370288
2015/2016,54420220,NA,1,Links to FNDDS,Base,0.790137
2015/2016,54440010,NA,1,Links to FNDDS,Extra,1.373525
2015/2016,54440020,NA,1,Links to FNDDS,Base,1.504433
2015/2016,55100010,NA,1,Links to FNDDS,Base,0.516203
2015/2016,55100020,NA,1,Links to FNDDS,Extra,0.486197
2015/2016,55100025,NA,1,Links to FNDDS,Extra,0.599793
2015/2016,55100050,NA,2,Links to altEC,Base,0.516468
2015/2016,55100080,NA,2,Links to altEC,Base,0.516468
2015/2016,55101000,NA,1,Links to FNDDS,Base,0.567728
2015/2016,55101015,NA,2,Links to altEC,Base,0.516468
2015/2016,55103000,NA,2,Links to altEC,Base,0.486197
2015/2016,55103100,NA,4,FNDDS recipe with modified SR codes,Base,0.398879
2015/2016,55105200,NA,4,FNDDS recipe with modified SR codes,Base,0.311838
2015/2016,55105205,NA,2,Links to altEC,Base,0.516468
2015/2016,55106000,NA,2,Links to altEC,Base,0.516468
2015/2016,55200010,NA,2,Links to altEC,Extra,0.67898
2015/2016,55200020,NA,1,Links to FNDDS,Base,0.67898
2015/2016,55200040,NA,1,Links to FNDDS,Base,0.735023
2015/2016,55200050,NA,1,Links to FNDDS,Base,0.679482
2015/2016,55200060,NA,1,Links to FNDDS,Base,0.882781
2015/2016,55200100,NA,2,Links to altEC,Base,0.679135
2015/2016,55200200,NA,2,Links to altEC,Base,0.679135
2015/2016,55201000,NA,1,Links to FNDDS,Base,0.766982
2015/2016,55211050,NA,1,Links to FNDDS,Extra,0.469775
2015/2016,55300020,NA,1,Links to FNDDS,Extra,0.700304
2015/2016,55300050,NA,2,Links to altEC,Base,0.700304
2015/2016,55301000,NA,2,Links to altEC,Base,0.700304
2015/2016,55301015,NA,2,Links to altEC,Base,0.700304
2015/2016,55301031,NA,1,Links to FNDDS,Base,0.630745
2015/2016,55301048,NA,2,Links to altEC,Base,0.983879
2015/2016,55301055,NA,1,Links to FNDDS,Extra,0.983879
2015/2016,55401000,NA,1,Links to FNDDS,Extra,3.617049
2015/2016,55610300,NA,1,Links to FNDDS,Base,0.617278
2015/2016,55701000,NA,1,Links to FNDDS,Base,1.107248
2015/2016,55702100,NA,2,Links to altEC,Base,0.516468
2015/2016,55801000,NA,2,Links to altEC,Base,0.764853
2015/2016,56104000,NA,1,Links to FNDDS,Extra,0.638966
2015/2016,56112000,NA,2,Links to altEC,Base,0.495511
2015/2016,56113000,NA,1,Links to FNDDS,Extra,0.689143
2015/2016,56116000,NA,1,Links to FNDDS,Base,0.686206
2015/2016,56117090,NA,2,Links to altEC,Base,0.264404
2015/2016,56130000,NA,1,Links to FNDDS,Base,0.6753
2015/2016,56132990,NA,2,Links to altEC,Base,0.130472
2015/2016,56140100,NA,2,Links to altEC,Base,0.110105
2015/2016,56201051,NA,3,Original FNDDS recipe,Base,0.027587
2015/2016,56201052,NA,4,FNDDS recipe with modified SR codes,Base,0.036729
2015/2016,56201056,NA,1,Links to FNDDS,Extra,0.450898
2015/2016,56201057,NA,4,FNDDS recipe with modified SR codes,Base,0.122361
2015/2016,56201210,NA,3,Original FNDDS recipe,Base,0.137493
2015/2016,56201220,NA,4,FNDDS recipe with modified SR codes,Base,0.150776
2015/2016,56201515,NA,1,Links to FNDDS,Extra,0.695563
2015/2016,56201516,NA,3,Original FNDDS recipe,Base,0.024913
2015/2016,56201600,NA,1,Links to FNDDS,Extra,0.168771
2015/2016,56202960,NA,4,FNDDS recipe with modified SR codes,Base,0.069669
2015/2016,56203000,NA,3,Original FNDDS recipe,Base,0.061212
2015/2016,56203056,NA,3,Original FNDDS recipe,Base,0.061212
2015/2016,56203057,NA,4,FNDDS recipe with modified SR codes,Base,0.069669
2015/2016,56203066,NA,4,FNDDS recipe with modified SR codes,Base,0.147455
2015/2016,56203067,NA,4,FNDDS recipe with modified SR codes,Base,0.154401
2015/2016,56203076,NA,4,FNDDS recipe with modified SR codes,Base,0.208718
2015/2016,56203086,NA,3,Original FNDDS recipe,Base,0.148672
2015/2016,56203096,NA,4,FNDDS recipe with modified SR codes,Base,0.23037
2015/2016,56203130,NA,3,Original FNDDS recipe,Base,0.182112
2015/2016,56203135,NA,4,FNDDS recipe with modified SR codes,Base,0.192881
2015/2016,56203155,NA,3,Original FNDDS recipe,Base,0.253741
2015/2016,56203175,NA,3,Original FNDDS recipe,Base,0.182112
2015/2016,56203555,NA,3,Original FNDDS recipe,Base,0.165124
2015/2016,56203610,NA,3,Original FNDDS recipe,Base,0.165854
2015/2016,56204000,NA,4,FNDDS recipe with modified SR codes,Base,0.466491
2015/2016,56204005,NA,2,Links to altEC,Base,0.470806
2015/2016,56204010,NA,4,FNDDS recipe with modified SR codes,Base,0.466491
2015/2016,56205000,NA,2,Links to altEC,Base,0.100949
2015/2016,56205001,NA,1,Links to FNDDS,Base,0.718424
2015/2016,56205002,NA,4,FNDDS recipe with modified SR codes,Base,0.085607
2015/2016,56205004,NA,4,FNDDS recipe with modified SR codes,Base,0.097973
2015/2016,56205006,NA,4,FNDDS recipe with modified SR codes,Base,0.085895
2015/2016,56205008,NA,2,Links to altEC,Base,0.08086
2015/2016,56205011,NA,2,Links to altEC,Base,0.231242
2015/2016,56205012,NA,4,FNDDS recipe with modified SR codes,Base,0.207895
2015/2016,56205014,NA,4,FNDDS recipe with modified SR codes,Base,0.217868
2015/2016,56205018,NA,1,Links to FNDDS,Base,0.748926
2015/2016,56205101,NA,4,FNDDS recipe with modified SR codes,Base,0.017941
2015/2016,56205130,NA,2,Links to altEC,Base,0.77876
2015/2016,56205150,NA,3,Original FNDDS recipe,Base,0.126744
2015/2016,56205170,NA,2,Links to altEC,Base,0.77876
2015/2016,56205190,NA,2,Links to altEC,Base,0.179638
2015/2016,56205210,NA,1,Links to FNDDS,Extra,0.891187
2015/2016,56205300,NA,1,Links to FNDDS,Extra,0.759046
2015/2016,56207030,NA,1,Links to FNDDS,Extra,0.159402
