parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75214002,"Cauliflower, cooked, from frozen, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75214002,"Cauliflower, cooked, from frozen, NS as to fat added in cooking",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214003,"Cauliflower, cooked, from canned, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75214003,"Cauliflower, cooked, from canned, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75214003,"Cauliflower, cooked, from canned, NS as to fat added in cooking",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214010,"Cauliflower, cooked, NS as to form, fat not added in cooking",2047.0,"Salt, table",1.0
75214010,"Cauliflower, cooked, NS as to form, fat not added in cooking",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214013,"Cauliflower, cooked, from canned, fat not added in cooking",2047.0,"Salt, table",1.0
75214013,"Cauliflower, cooked, from canned, fat not added in cooking",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214023,"Cauliflower, cooked, from canned, fat added in cooking, NS as to type of fat",2047.0,"Salt, table",1.0
75214023,"Cauliflower, cooked, from canned, fat added in cooking, NS as to type of fat",4323.0,"Table fat, averaged",4.729
75214023,"Cauliflower, cooked, from canned, fat added in cooking, NS as to type of fat",11136.0,"Cauliflower, cooked, boiled, drained, without salt",124.0
75214024,"Cauliflower, cooked, NS as to form, made with oil",2047.0,"Salt, table",1.0
75214024,"Cauliflower, cooked, NS as to form, made with oil",4322.0,"Vegetable oil, averaged",4.542
75214024,"Cauliflower, cooked, NS as to form, made with oil",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214025,"Cauliflower, cooked, NS as to form, made with butter",1001.0,"Butter, salted",4.729
75214025,"Cauliflower, cooked, NS as to form, made with butter",2047.0,"Salt, table",1.0
75214025,"Cauliflower, cooked, NS as to form, made with butter",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214026,"Cauliflower, cooked, NS as to form, made with margarine",2047.0,"Salt, table",1.0
75214026,"Cauliflower, cooked, NS as to form, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75214026,"Cauliflower, cooked, NS as to form, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75214026,"Cauliflower, cooked, NS as to form, made with margarine",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214029,"Cauliflower, cooked, from fresh, made with margarine",2047.0,"Salt, table",1.0
75214029,"Cauliflower, cooked, from fresh, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75214029,"Cauliflower, cooked, from fresh, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75214029,"Cauliflower, cooked, from fresh, made with margarine",11136.0,"Cauliflower, cooked, boiled, drained, without salt",124.0
75214032,"Cauliflower, cooked, from frozen, made with margarine",2047.0,"Salt, table",1.0
